text,class
"@shaahid muhammad не только изменение гормонов, братан. Так устроен их мозг. Мозг не отнять. Они тоже нормальные люди. Это наша вина, что мы пытаемся изолировать их, потому что они не составляют большинства.",Hope_speech
"С Днем матери, Сурьямма, наша прекрасная мама",Hope_speech
"Поскольку они сами выбрали свою жизнь, жизнь двух девочек была спасена.",Hope_speech
Сегодня можно увидеть особую красоту,Hope_speech
"В любом случае, Арун становится все умнее и умнее.",Hope_speech
Кевин не может задавать им вопросы.,Hope_speech
"Мы внезапно становимся единым целым с этими шумами. Нет необходимости принимать решение. Правительство не остановит это, особенно в случае с папоротниками, если мы пройдем мимо Китая в области телекоммуникаций, я придерживаюсь мнения, что через двадцать пять лет мы заплатим. Некия",Hope_speech
Очень хорошие знания большое спасибо,Hope_speech
Давай поклянемся... мы никому не причиним вреда...,Hope_speech
"2 проблемы, которые были переписаны системой, за которой следили долгое время... Да прибудут хорошие вещи... Пусть история изменится перед ними.",Hope_speech
Арун Четан сломал его. Чуваки супер. Иметь хорошую жизнь.,Hope_speech
"С юбилеем, дорогие.  Не изменилась ли грусть.  Не плачьте больше. мне очень нравится нингале и ренджуамма.",Hope_speech
Ты гений..это видно по твоему настоящему..,Hope_speech
"Любовь бывает не только между мужчиной и женщиной или женщиной и мужчиной. Мужество, чтобы сказать это",Hope_speech
"Кевину, похоже, было о чем поговорить. Остальное не говорит, что здесь и как, кроме того, что там и здесь есть учеба. Исследования состояния Гэя еще не завершены",Hope_speech
Наша история любви почти как сказка.,Hope_speech
"24 Новости можно назвать каналом, а Аруна - ведущим.",Hope_speech
"Сомнение, которое было там в течение нескольких дней, получило ответ сегодня. Большое спасибо доктор.",Hope_speech
Необходимо согласие суда и правительства,Hope_speech
"Многие люди, которые утверждают, что они НАТУРАЛЬНЫЕ здесь, являются БИСЕКСУАЛАМИ....",Hope_speech
"@Ganga Gangasujanth, почему ты боишься, сестренка... никогда не бойся и смело иди вперед... это никогда не является недостатком или чем-то меньшим, алла... Я был счастлив, когда читал сам этот раздел комментариев... Я видел много людей поддерживаю... есть много добрых людей, сестренка. .. Никогда не бойся... Хорошие люди будут с тобой и поддержат тебя... Будь сильным да",Hope_speech
"Либо вы не видели всего этого шоу, либо не имеете ни малейшего представления о сексуальной ориентации. В этом я ясно говорю, что Раджу бисексуален, а я гей. Сексуальная ориентация не может быть выбрана человеком. Быть, чтобы жить.",Hope_speech
Я желаю Сону и Никеш счастливой семейной жизни.,Hope_speech
Мать детей,Hope_speech
"Я хочу встретиться с Сурьей Аммой... Я думаю, что когда-нибудь увижу ее... Да благословит Бог вас обоих...",Hope_speech
"Общество никогда не платило цену тем, кто взывает к истине. Если у вашего сына будет похожая ситуация в будущем....../?????? ""Если мать Аранте сойдет с ума, приятно видеть...",Hope_speech
У твоей любви страшная красота..,Hope_speech
"Заметили ли вы, что от угрожающего диалога хиндутвы против меньшинств нет изменений в презрении, которое они проявляют к людям, которые составляют большее меньшинство, чем они сами?",Hope_speech
"Всего наилучшего, Никеш и Сону... Кевину вышибли уши....",Hope_speech
"@Блесси Эстер - полицейский..поте...те, кто в состоянии быть живым, даже если им дадут какое-то лекарство, и они умрут..Это не болезнь, которую нужно лечить..Нет ничего против природы..Они тоже часть природы..Никакой вред никому не причиняется..",Hope_speech
"Я искренне верю, что подобные программы будут транслироваться снова и снова, чтобы показать пример следующему поколению. Всего наилучшего 24 каналу.",Hope_speech
"Привет, сестра Сурья. Я очень люблю Чечи и Ишаана Икку. Вам повезло, что у вас такая хорошая жизнь. Бог так любит тебя. Я посмотрю все видео. Пожалуйста ответь мне",Hope_speech
"Самый счастливый мир В ваших друзьях или отношениях обязательно будут геи или бисексуалы. Не все гомосексуалы женоподобны, поэтому трудно понять, не раскрывая ли они это.. Многие люди не говорят этого, потому что боятся других.. Они говорят снова и еще раз о том, что не все гомосексуалы женоподобны.. Ты считаешь себя мужчиной и гетеросексуалом. Любовь или сексуальный интерес, который мужчина испытывает к девушке, одинаковы. Это совершенно естественно.",Hope_speech
Арун много раз повторил слово «ролевая игра» во время обсуждения… это старая история… На самом деле в современных семьях очень мало ролевых игр… новое поколение любит делать все с взаимным участием..,Hope_speech
Правительство должно поддерживать их на законных основаниях.. Пусть живут счастливо..,Hope_speech
"Никеш сказал, что это опыт, который был у многих людей, и те, у кого есть опыт, не хотят говорить об этом.",Hope_speech
Прощай все печали и теперь дни счастья,Hope_speech
С днем ??матери,Hope_speech
Сурьямма Ишанка Да благословит тебя Бог,Hope_speech
"Спасибо, доктор, самая нужная и полезная информация сейчас. С нетерпением жду большего.",Hope_speech
"@josh понимает сентиментальность. Я тоже индиец. Солдаты не должны снова так умирать. Война ничего не дает. Есть только потери. Если Китай начнет, Пакистан тоже начнет. Сомнительна и позиция Непала. Если Индия станет рабом эмоций и начнет что-то свое, даже многие страны мира не останутся в стороне. Мы можем даже увидеть WW3. Не только 3 мировая",Hope_speech
"Очень четко сказано. Спасибо, доктор.",Hope_speech
"Я не понимаю, какая проблема у общества в том, что они так живут. Просто посмотрите на них как на людей, таких же, как мы. Как-нибудь выживут. Будьте благословенны Никеш и Сону",Hope_speech
полный спорт братан,Hope_speech
С годовщиной свадьбы. Она очень красивая сегодня,Hope_speech
Какая любящая сестра. Хочу встретиться и встретиться с вами Асвати из Ниламбур Малаппурам,Hope_speech
Пусть живут своей жизнью...,Hope_speech
"Просто живи своей жизнью... не смотри на других, сестра... потому что многие люди скажут многое... скажи им уйти... ты супер",Hope_speech
Много ценной информации!!! Все видео доктора очень полезны для всех нас...спасибо...надеюсь на больше таких видео...да благословит бог,Hope_speech
"С годовщиной свадьбы, Сурья Ишаан... Да благословит Патахон, чтобы мы прожили 100 лет в гармонии и такой запутанности.. Тогда Ишаан очень устал.. Я хочу его послушать.",Hope_speech
"Мобильный телефон, изобретенный западным человеком, и комментарий западного человека на YouTube следует противопоставить западной культуре. Гомосексуализм присутствует в каждом человеческом обществе.",Hope_speech
"Я заставил твою маму плакать, моя соорья",Hope_speech
С Днем Свадьбы Сурья Амма,Hope_speech
"@Habeeb Calicut На земле есть много игр природы, о которых мы с вами не знаем. Постарайтесь узнать о них хотя бы немного.",Hope_speech
"Может ли гетеросексуальный мужчина ненавидеть все гетеросексуальное сообщество, если он схватит пенис любой женщины??? Сексуальные домогательства есть в каждом сообществе....все должны быть наказаны....феминистки не геи....мужчина с полностью мужественным мышлением испытывает чувства к другому человеку с полностью мужским мышлением....( гейсину не испытывает влечения для женоподобных людей )Его речь. Кое-где говорят, что жизнь тех, кто перейдет в другие сообщества, будет разрушена… просто слушайте внимательно… большая ошибка говорить, что 90% людей, имеющих фальшивые аккаунты, становятся геями… 100% учиться и говорить.",Hope_speech
Спасибо. Отличное видео,Hope_speech
Привет сестра Икка,Hope_speech
Принят Верховным судом Индии,Hope_speech
поздравляю бро,Hope_speech
"Молодец, братан, пусть скептики говорят, что ты живешь и сражаешься, пока не получишь свои права",Hope_speech
"@ammu ps n Если вы хотите ненавидеть гнев, который не является «человеческим», вам нужна человечность, не имеет значения, есть ли у вас человеческая форма. Только человек может знать добро и зло... может противостоять этому... независимо от того, есть ли там человечество.",Hope_speech
"Это была очень честная беседа... многие факты, которые говорят супруги, являются абсолютной правдой... их права должны быть защищены... общество смеется над ними.",Hope_speech
Они сделали это с любовью,Hope_speech
@vishnu jith гомосексуальность также присутствовал в той культуре.. Вы можете увидеть это в статуях Кхаджурахо.. гомосексуальность не появился в этом столетии.. Он существовал с древних времен..,Hope_speech
Все индийцы — мои братья и сестры. Индия — светская демократическая страна.,Hope_speech
"Общество никогда не платило цену тем, кто взывает к истине. Если у вашего сына будет похожая ситуация в будущем....../?????? ""Если мать Аранте сойдет с ума, приятно видеть...",Hope_speech
"будет рад. Но наше общество должно быть немного лучше. Если нет, то и жира нет. Она или он будет сильным человеком. Потому что он или она растет под защитой двух таких сильных отцов.",Hope_speech
"Это правда. Выражения лиц Сону Четана, казалось, были влюблены друг в друга на всю жизнь.",Hope_speech
"Не потому ли, что в индийском обществе принято, чтобы они жили вместе?",Hope_speech
Что-то похожее на Арункумар,Hope_speech
"Необязательно, чтобы вся семья знала, являются ли их родные брат или сестра геем или есть ли у них партнер.",Hope_speech
"Как мило видеть, как Сону смотрит на Никеша во время разговора",Hope_speech
"Религии мыслят узко, человек мыслит широко",Hope_speech
"Кто ты такой, чтобы судить этих ублюдков? Это не ненормально, это естественно. Сначала иди и учись, а если нет, то хотя бы не говори об этом. Меньшинства тоже хотят собственной жизни. Так диктует регламент. И дело не только в том, чтобы создать поколение.",Hope_speech
"Два честных человека.. живут очень красивой жизнью.. муж и жена, которые изменяют друг другу внутри своего брака.. лицемерные моралисты не имеют права их судить..",Hope_speech
Любовь таких людей будет полторы массы,Hope_speech
Жить без маски. Хорошее начало,Hope_speech
"Индия должна понять, что вторжение Китая — это психологический момент во время этого великого кризиса под названием Корона.",Hope_speech
Пусть добро придет,Hope_speech
